id,Hospital Name,Address,City,State,ZIP Code,County Name,Phone Number,Hospital Type,Hospital Ownership,Emergency Services,Meets criteria for meaningful use of EHRs,Hospital overall rating
985,BANNER-UNIVERSITY MEDICAL CENTER TUCSON CAMPUS,1501 NORTH CAMPBELL AVENUE,TUCSON,AZ,85724,PIMA,5208744189,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,1
986,OVERLAKE HOSPITAL MEDICAL CENTER,1035-116TH AVE NE,BELLEVUE,WA,98004,KING,4256885000,Acute Care Hospitals,Voluntary non-profit - Other,TRUE,TRUE,3
987,PORTSMOUTH REGIONAL HOSPITAL,333 BORTHWICK AVE,PORTSMOUTH,NH,3801,ROCKINGHAM,6034365110,Acute Care Hospitals,Proprietary,TRUE,TRUE,3
988,NORTH CADDO MEDICAL CENTER,715 SOUTH PINE STREET,VIVIAN,LA,71082,CADDO,3183753235,Critical Access Hospitals,Government - Hospital District or Authority,TRUE,TRUE,3
989,AURORA SHEBOYGAN MEMORIAL MEDICAL CTR,2629 N 7TH ST,SHEBOYGAN,WI,53083,SHEBOYGAN,9204515000,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,4
990,ST LUKE'S PATIENTS MEDICAL CENTER,4600 EAST SAM HOUSTON PARKWAY SOUTH,PASADENA,TX,77505,HARRIS,2814870700,Acute Care Hospitals,Physician,TRUE,TRUE,4
991,CARSON TAHOE REGIONAL MEDICAL CENTER,1600 MEDICAL PARKWAY,CARSON CITY,NV,89703,CARSON CITY,7754458000,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3
992,MACON COUNTY GENERAL HOSPITAL,204 MEDICAL DRIVE,LAFAYETTE,TN,37083,MACON,6156662147,Critical Access Hospitals,Voluntary non-profit - Private,TRUE,TRUE,2
993,KALEIDA HEALTH,"726 EXCHANGE STREET, SUITE 522",BUFFALO,NY,14210,ERIE,7168598620,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,2
994,CLEAR LAKE REGIONAL MEDICAL CENTER,500 MEDICAL CENTER BLVD,WEBSTER,TX,77598,HARRIS,2813322511,Acute Care Hospitals,Proprietary,TRUE,TRUE,3
995,ROGER WILLIAMS MEDICAL CENTER,825 CHALKSTONE AVENUE,PROVIDENCE,RI,2908,PROVIDENCE,4014562025,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3
996,SETON SMITHVILLE REGIONAL HOSPITAL,1201 HILL RD,SMITHVILLE,TX,78957,BASTROP,5122373214,Acute Care Hospitals,Voluntary non-profit - Church,TRUE,TRUE,3
997,PEMISCOT COUNTY MEMORIAL HOSPITAL,946 EAST REED,HAYTI,MO,63851,PEMISCOT,5733591372,Acute Care Hospitals,Government - Hospital District or Authority,TRUE,TRUE,2
998,SEDAN CITY HOSPITAL,300 NORTH STREET,SEDAN,KS,67361,CHAUTAUQUA,6207253115,Critical Access Hospitals,Government - Local,TRUE,TRUE,Not Available
999,MAD RIVER COMMUNITY HOSPITAL,3800 JANES RD,ARCATA,CA,95521,HUMBOLDT,7078223621,Acute Care Hospitals,Proprietary,TRUE,TRUE,3
1000,DANIELS MEMORIAL HOSPITAL,105 5TH AVE E,SCOBEY,MT,59263,DANIELS,4064872296,Critical Access Hospitals,Government - Hospital District or Authority,TRUE,TRUE,Not Available
